nmfs_original_species,stock_assessment_species_name,stock_assessment_species_location,stockid,source,stock,rgn_id,rgn_name
COD,atlantic cod,Georges Bank,CODGBW,NMFS,GB Cod West,1,Offshore
COD,atlantic cod,Georges Bank,CODGBW,NMFS,GB Cod West,2,Georges Bank
COD,atlantic cod,Georges Bank,CODGBW,NMFS,GB Cod West,3,Gulf of Maine
COD,atlantic cod,Georges Bank,CODGBW,NMFS,GB Cod West,4,Mid-Atlantic Bight
COD,atlantic cod,Georges Bank,CODGBW,NMFS,GB Cod West,5,Connecticut
COD,atlantic cod,Georges Bank,CODGBW,NMFS,GB Cod West,7,Massachusetts-Gulf of Maine
COD,atlantic cod,Georges Bank,CODGBW,NMFS,GB Cod West,8,Massachusetts-Virginian
COD,atlantic cod,Georges Bank,CODGBW,NMFS,GB Cod West,10,New York
COD,atlantic cod,Georges Bank,CODGBW,NMFS,GB Cod West,11,Rhode Island
COD,atlantic cod,Gulf of Maine,CODGMSS,NMFS,GOM Cod,3,Gulf of Maine
COD,atlantic cod,Gulf of Maine,CODGMSS,NMFS,GOM Cod,6,Maine
COD,atlantic cod,Gulf of Maine,CODGMSS,NMFS,GOM Cod,7,Massachusetts-Gulf of Maine
COD,atlantic cod,Gulf of Maine,CODGMSS,NMFS,GOM Cod,9,New Hampshire
HADDOCK,haddock,Georges Bank,HADGBW,NMFS,GB Haddock West,1,Offshore
HADDOCK,haddock,Georges Bank,HADGBW,NMFS,GB Haddock West,2,Georges Bank
HADDOCK,haddock,Georges Bank,HADGBW,NMFS,GB Haddock West,3,Gulf of Maine
HADDOCK,haddock,Georges Bank,HADGBW,NMFS,GB Haddock West,4,Mid-Atlantic Bight
HADDOCK,haddock,Georges Bank,HADGBW,NMFS,GB Haddock West,5,Connecticut
HADDOCK,haddock,Georges Bank,HADGBW,NMFS,GB Haddock West,7,Massachusetts-Gulf of Maine
HADDOCK,haddock,Georges Bank,HADGBW,NMFS,GB Haddock West,8,Massachusetts-Virginian
HADDOCK,haddock,Georges Bank,HADGBW,NMFS,GB Haddock West,10,New York
HADDOCK,haddock,Georges Bank,HADGBW,NMFS,GB Haddock West,11,Rhode Island
HADDOCK,haddock,Gulf of Maine,HADGM,NMFS,GOM Haddock,3,Gulf of Maine
HADDOCK,haddock,Gulf of Maine,HADGM,NMFS,GOM Haddock,6,Maine
HADDOCK,haddock,Gulf of Maine,HADGM,NMFS,GOM Haddock,7,Massachusetts-Gulf of Maine
HADDOCK,haddock,Gulf of Maine,HADGM,NMFS,GOM Haddock,9,New Hampshire
OCEAN POUT,ocean pout,Northwestern Atlantic Coast,OPTGMMA,NMFS,Ocean Pout,1,Offshore
OCEAN POUT,ocean pout,Northwestern Atlantic Coast,OPTGMMA,NMFS,Ocean Pout,2,Georges Bank
OCEAN POUT,ocean pout,Northwestern Atlantic Coast,OPTGMMA,NMFS,Ocean Pout,3,Gulf of Maine
OCEAN POUT,ocean pout,Northwestern Atlantic Coast,OPTGMMA,NMFS,Ocean Pout,4,Mid-Atlantic Bight
OCEAN POUT,ocean pout,Northwestern Atlantic Coast,OPTGMMA,NMFS,Ocean Pout,5,Connecticut
OCEAN POUT,ocean pout,Northwestern Atlantic Coast,OPTGMMA,NMFS,Ocean Pout,6,Maine
OCEAN POUT,ocean pout,Northwestern Atlantic Coast,OPTGMMA,NMFS,Ocean Pout,7,Massachusetts-Gulf of Maine
OCEAN POUT,ocean pout,Northwestern Atlantic Coast,OPTGMMA,NMFS,Ocean Pout,8,Massachusetts-Virginian
OCEAN POUT,ocean pout,Northwestern Atlantic Coast,OPTGMMA,NMFS,Ocean Pout,9,New Hampshire
OCEAN POUT,ocean pout,Northwestern Atlantic Coast,OPTGMMA,NMFS,Ocean Pout,10,New York
OCEAN POUT,ocean pout,Northwestern Atlantic Coast,OPTGMMA,NMFS,Ocean Pout,11,Rhode Island
POLLOCK,pollock,Gulf of Maine / Georges Bank,POKGMASS,NMFS,Pollock,1,Offshore
POLLOCK,pollock,Gulf of Maine / Georges Bank,POKGMASS,NMFS,Pollock,2,Georges Bank
POLLOCK,pollock,Gulf of Maine / Georges Bank,POKGMASS,NMFS,Pollock,3,Gulf of Maine
POLLOCK,pollock,Gulf of Maine / Georges Bank,POKGMASS,NMFS,Pollock,4,Mid-Atlantic Bight
POLLOCK,pollock,Gulf of Maine / Georges Bank,POKGMASS,NMFS,Pollock,5,Connecticut
POLLOCK,pollock,Gulf of Maine / Georges Bank,POKGMASS,NMFS,Pollock,6,Maine
POLLOCK,pollock,Gulf of Maine / Georges Bank,POKGMASS,NMFS,Pollock,7,Massachusetts-Gulf of Maine
POLLOCK,pollock,Gulf of Maine / Georges Bank,POKGMASS,NMFS,Pollock,8,Massachusetts-Virginian
POLLOCK,pollock,Gulf of Maine / Georges Bank,POKGMASS,NMFS,Pollock,9,New Hampshire
POLLOCK,pollock,Gulf of Maine / Georges Bank,POKGMASS,NMFS,Pollock,10,New York
POLLOCK,pollock,Gulf of Maine / Georges Bank,POKGMASS,NMFS,Pollock,11,Rhode Island
